permit,streetname,from_st,to_st
./out/15TOC-5384.csv,24TH AVE,QUINTARA ST,RIVERA ST
./out/15TOC-5384.csv,24TH AVE,RIVERA ST,SANTIAGO ST
./out/15TOC-5384.csv,24TH AVE,SANTIAGO ST,TARAVAL ST
./out/15TOC-5384.csv,25TH AVE,LINCOLN WAY,IRVING ST
./out/15TOC-5384.csv,25TH AVE,IRVING ST,JUDAH ST
./out/15TOC-5384.csv,25TH AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-5384.csv,25TH AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-5384.csv,25TH AVE,LAWTON ST,MORAGA ST
./out/15TOC-5384.csv,25TH AVE,MORAGA ST,NORIEGA ST
./out/15TOC-5384.csv,25TH AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-5384.csv,26TH AVE,LINCOLN WAY,IRVING ST
./out/15TOC-5384.csv,26TH AVE,IRVING ST,JUDAH ST
./out/15TOC-5384.csv,26TH AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-5384.csv,26TH AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-5384.csv,26TH AVE,LAWTON ST,MORAGA ST
./out/15TOC-5384.csv,26TH AVE,MORAGA ST,NORIEGA ST
./out/15TOC-5384.csv,26TH AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-5384.csv,27TH AVE,IRVING ST,JUDAH ST
./out/15TOC-5384.csv,27TH AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-5384.csv,27TH AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-5384.csv,27TH AVE,LAWTON ST,MORAGA ST
./out/15TOC-5384.csv,27TH AVE,MORAGA ST,NORIEGA ST
./out/15TOC-5384.csv,27TH AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-5384.csv,28TH AVE,IRVING ST,JUDAH ST
./out/15TOC-5384.csv,28TH AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-5384.csv,28TH AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-5384.csv,28TH AVE,LAWTON ST,MORAGA ST
./out/15TOC-5384.csv,28TH AVE,MORAGA ST,NORIEGA ST
./out/15TOC-5384.csv,28TH AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-5384.csv,28TH AVE,ORTEGA ST,PACHECO ST
./out/15TOC-5384.csv,28TH AVE,PACHECO ST,QUINTARA ST
./out/15TOC-5384.csv,28TH AVE,QUINTARA ST,RIVERA ST
./out/15TOC-5384.csv,28TH AVE,RIVERA ST,SANTIAGO ST
./out/15TOC-5384.csv,28TH AVE,SANTIAGO ST,TARAVAL ST
./out/15TOC-5384.csv,IRVING ST,22ND AVE,Intersection
./out/15TOC-5384.csv,IRVING ST,23RD AVE,Intersection
./out/15TOC-5384.csv,IRVING ST,24TH AVE,Intersection
./out/15TOC-5384.csv,IRVING ST,25TH AVE,Intersection
./out/15TOC-5384.csv,IRVING ST,26TH AVE,Intersection
./out/15TOC-5384.csv,IRVING ST,27TH AVE,Intersection
./out/15TOC-5384.csv,IRVING ST,28TH AVE,Intersection
./out/15TOC-5384.csv,JUDAH ST,22ND AVE,Intersection
./out/15TOC-5384.csv,JUDAH ST,23RD AVE,Intersection
./out/15TOC-5384.csv,JUDAH ST,24TH AVE,Intersection
./out/15TOC-5384.csv,JUDAH ST,25TH AVE,Intersection
./out/15TOC-5384.csv,JUDAH ST,26TH AVE,Intersection
./out/15TOC-5384.csv,JUDAH ST,27TH AVE,Intersection
./out/15TOC-5384.csv,JUDAH ST,28TH AVE,Intersection
./out/15TOC-5384.csv,KIRKHAM ST,22ND AVE,Intersection
./out/15TOC-5384.csv,KIRKHAM ST,23RD AVE,Intersection
./out/15TOC-5384.csv,KIRKHAM ST,24TH AVE,Intersection
./out/15TOC-5384.csv,KIRKHAM ST,25TH AVE,Intersection
./out/15TOC-5384.csv,KIRKHAM ST,26TH AVE,Intersection
./out/15TOC-5384.csv,KIRKHAM ST,27TH AVE,Intersection
./out/15TOC-5384.csv,KIRKHAM ST,28TH AVE,Intersection
./out/15TOC-5384.csv,LAWTON ST,22ND AVE,Intersection
./out/15TOC-5384.csv,LAWTON ST,23RD AVE,Intersection
./out/15TOC-5384.csv,LAWTON ST,24TH AVE,Intersection
./out/15TOC-5384.csv,LAWTON ST,25TH AVE,Intersection
./out/15TOC-5384.csv,LAWTON ST,26TH AVE,Intersection
./out/15TOC-5384.csv,LAWTON ST,27TH AVE,Intersection
./out/15TOC-5384.csv,LAWTON ST,28TH AVE,Intersection
./out/15TOC-5384.csv,MORAGA ST,22ND AVE,Intersection
./out/15TOC-5384.csv,MORAGA ST,23RD AVE,Intersection
./out/15TOC-5384.csv,MORAGA ST,24TH AVE,Intersection
./out/15TOC-5384.csv,MORAGA ST,25TH AVE,Intersection
./out/15TOC-5384.csv,MORAGA ST,26TH AVE,Intersection
./out/15TOC-5384.csv,MORAGA ST,27TH AVE,Intersection
./out/15TOC-5384.csv,MORAGA ST,28TH AVE,Intersection
./out/15TOC-5384.csv,NORIEGA ST,22ND AVE,Intersection
./out/15TOC-5384.csv,NORIEGA ST,23RD AVE,Intersection
./out/15TOC-5384.csv,NORIEGA ST,24TH AVE,Intersection
./out/15TOC-5384.csv,NORIEGA ST,25TH AVE,Intersection
./out/15TOC-5384.csv,NORIEGA ST,26TH AVE,Intersection
./out/15TOC-5384.csv,NORIEGA ST,27TH AVE,Intersection
